City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chuy,UY,2022-04-20 19:49:21,-33.6971,-53.4616,71.69,61,0,11.77
68,Opelousas,US,2022-04-20 19:49:22,30.5335,-92.0815,78.91,61,40,24.16
69,Leshukonskoye,RU,2022-04-20 19:49:22,64.8989,45.7622,22.03,96,24,3.38
70,Olafsvik,IS,2022-04-20 19:49:23,64.8945,-23.7142,44.8,88,100,13.76
71,Kijang,KR,2022-04-20 19:49:23,35.2442,129.2139,55.13,52,100,6.87
72,Port Alfred,ZA,2022-04-20 19:49:24,-33.5906,26.891,71.28,75,9,11.41
73,Rabo De Peixe,PT,2022-04-20 19:49:25,37.8,-25.5833,58.51,67,40,2.3
74,Jamestown,US,2022-04-20 19:45:40,42.097,-79.2353,52.52,37,0,6.91
75,Jacksonville,US,2022-04-20 19:44:32,30.3322,-81.6556,77.09,54,75,17.27
76,San Carlos,VE,2022-04-20 19:49:26,9.6612,-68.5827,89.94,46,94,1.99
77,Chokurdakh,RU,2022-04-20 19:49:26,70.6333,147.9167,4.23,98,94,3.91
78,Micheweni,TZ,2022-04-20 19:49:26,-4.9667,39.8333,77.9,84,100,9.28
79,Ancud,CL,2022-04-20 19:49:27,-41.8697,-73.8203,52.23,73,100,13.09
80,Alta Floresta,BR,2022-04-20 19:49:27,-9.8756,-56.0861,93.02,55,40,5.75
81,Victoria,HK,2022-04-20 19:47:27,22.2855,114.1577,73.18,84,92,4.0
82,Sao Filipe,CV,2022-04-20 19:49:28,14.8961,-24.4956,73.06,78,68,6.11
83,Husavik,IS,2022-04-20 19:49:28,66.0449,-17.3389,42.98,85,87,10.33
84,Homer,US,2022-04-20 19:49:29,59.6425,-151.5483,44.04,47,0,4.61
85,Oussouye,SN,2022-04-20 19:49:29,12.485,-16.5469,86.18,65,99,11.74
86,Praya,CV,2022-04-20 19:49:29,14.9215,-23.5087,75.74,69,20,17.27
87,Bandarbeyla,SO,2022-04-20 19:49:30,9.4942,50.8122,81.09,72,5,8.23
88,Aguimes,ES,2022-04-20 19:49:30,27.9054,-15.4461,65.66,63,40,32.21
89,Katangli,RU,2022-04-20 19:49:31,51.7102,143.2326,36.28,95,100,13.18
90,Thompson,CA,2022-04-20 19:47:08,55.7435,-97.8558,32.16,55,75,16.11
91,Hvolsvollur,IS,2022-04-20 19:49:31,63.7533,-20.2243,47.01,87,100,7.96
92,Kodiak,US,2022-04-20 19:49:32,57.79,-152.4072,42.31,70,20,6.91
93,Yaring,TH,2022-04-20 19:49:32,6.8662,101.3689,79.56,85,100,6.55
94,Ukiah,US,2022-04-20 19:49:32,39.1502,-123.2078,55.36,89,100,11.5
95,Cap Malheureux,MU,2022-04-20 19:49:33,-19.9842,57.6142,77.47,88,100,1.01
96,Seymchan,RU,2022-04-20 19:50:33,62.8833,152.4333,2.37,98,61,1.25
97,Salalah,OM,2022-04-20 19:50:34,17.0151,54.0924,78.6,76,0,4.27
98,Kavaratti,IN,2022-04-20 19:50:34,10.5669,72.642,84.25,72,3,10.87
99,Naze,JP,2022-04-20 19:50:35,28.3667,129.4833,68.92,77,100,7.07
100,Port Hedland,AU,2022-04-20 19:44:06,-20.3167,118.5667,77.05,38,90,6.91
101,Atuona,PF,2022-04-20 19:50:35,-9.8,-139.0333,78.82,74,38,17.63
102,Buin,CL,2022-04-20 19:46:42,-33.7333,-70.75,73.72,33,100,4.34
103,Cochrane,CA,2022-04-20 19:50:36,51.1834,-114.4687,35.62,65,20,12.66
104,Binzhou,CN,2022-04-20 19:50:37,37.3667,118.0167,63.28,59,79,13.82
105,Busselton,AU,2022-04-20 19:49:44,-33.65,115.3333,54.52,87,0,11.65
106,San Patricio,US,2022-04-20 19:50:37,28.017,-97.5169,84.16,56,100,22.28
107,Kralendijk,BQ,2022-04-20 19:47:11,12.15,-68.2667,84.18,70,75,16.11
108,Banda Aceh,ID,2022-04-20 19:45:17,5.5577,95.3222,79.66,80,92,3.42
