City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Cam Ranh,VN,82.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
589,Qurayyat,SA,86.18,clear sky,31.3318,37.3428,Resorts Kandel
591,Aksay,RU,75.25,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
595,Cairns,AU,76.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
596,Houma,US,75.2,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
597,Labuhan,ID,79.81,broken clouds,-6.8844,112.2051,DoubleFAG
599,Villeneuve-Les-Avignon,FR,75.61,clear sky,43.9684,4.7963,Hôtel Le Bristol Avignon
603,Kilifi,KE,80.4,overcast clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
604,Ravar,IR,76.57,overcast clouds,31.2656,56.8055,computertik
620,Mutata,CO,82.78,heavy intensity rain,7.2441,-76.4356,RESIDENCIA ZULIMA
623,Kandrian,PG,77.54,light rain,-6.2167,149.55,Kandrian Station
627,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
632,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
633,Honiara,SB,78.26,broken clouds,-9.4333,159.95,Heritage Park Hotel
640,Nayagarh,IN,84.67,clear sky,20.1333,85.1,Devjani autospa
642,Beira,MZ,78.89,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
646,Alibag,IN,87.87,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
649,Semporna,MY,80.56,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
650,Bahadurganj,IN,88.36,clear sky,26.2667,87.8167,Usmania Cottage
652,Umm Lajj,SA,79.0,clear sky,25.0213,37.2685,Moon light Furnished Units
653,Aksum,ET,76.51,overcast clouds,14.1245,38.7244,Remhai Hotel
654,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
659,Auki,SB,77.52,scattered clouds,-8.7676,160.7034,Auki Motel
661,Xaxim,BR,84.58,clear sky,-26.9617,-52.5347,Hotel São Luiz
663,Charlottesville,US,76.08,broken clouds,38.0293,-78.4767,Hilton Garden Inn Charlottesville
664,Maldonado,UY,75.22,broken clouds,-34.6667,-54.9167,La Cimarrona
666,Kisangani,CD,78.39,overcast clouds,0.5167,25.2,Grand Ramela Hotel
